cellI,x,y,z,S,omega,k,nut
3917,0.004375,0.01,0.000125,6.25e-08,233356.5936,27.94380728,2.092086228e-05
3918,0.004625,0.01,0.000125,6.25e-08,237425.0164,28.69297579,2.125717721e-05
3919,0.004875,0.01,0.000125,6.25e-08,241205.0515,29.39347029,2.156912137e-05
3920,0.005125,0.01,0.000125,6.25e-08,244713.0663,30.04727642,2.185816806e-05
3921,0.005375,0.01,0.000125,6.25e-08,247964.7673,30.65643478,2.212571593e-05
3922,0.005625,0.01,0.000125,6.25e-08,250975.2017,31.22301378,2.237309214e-05
3923,0.005875,0.01,0.000125,6.25e-08,253758.7573,31.74908635,2.260155489e-05
3924,0.006125,0.01,0.000125,6.25e-08,256329.1676,32.23671096,2.281229605e-05
3925,0.006375,0.01,0.000125,6.25e-08,258699.5206,32.68791658,2.300644379e-05
3926,0.006625,0.01,0.000125,6.25e-08,260882.2704,33.10469034,2.318506503e-05
3927,0.006875,0.01,0.000125,6.25e-08,262889.2478,33.48896745,2.334916783e-05
3928,0.007125,0.01,0.000125,6.25e-08,264731.6742,33.84262332,2.349970357e-05
3929,0.007375,0.01,0.000125,6.25e-08,266420.1769,34.16746768,2.363756928e-05
3930,0.007625,0.01,0.000125,6.25e-08,267964.8077,34.46524056,2.376361004e-05
3931,0.007875,0.01,0.000125,6.25e-08,269375.0624,34.73760958,2.387862128e-05
3932,0.008125,0.01,0.000125,6.25e-08,270659.8999,34.98616822,2.398335103e-05
3933,0.008375,0.01,0.000125,6.25e-08,271827.7615,35.21243482,2.407850201e-05
3934,0.008625,0.01,0.000125,6.25e-08,272886.591,35.41785245,2.416473377e-05
3935,0.008875,0.01,0.000125,6.25e-08,273843.8556,35.60378965,2.424266479e-05
3936,0.009125,0.01,0.000125,6.25e-08,274706.5689,35.77154203,2.431287469e-05
3937,0.009375,0.01,0.000125,6.25e-08,275481.3129,35.92233396,2.437590635e-05
3938,0.009625,0.01,0.000125,6.25e-08,276174.2577,36.05732048,2.443226776e-05
3939,0.009875,0.01,0.000125,6.25e-08,276791.1822,36.17758945,2.44824339e-05
3940,0.010125,0.01,0.000125,6.25e-08,277337.4951,36.28416421,2.45268487e-05
3941,0.010375,0.01,0.000125,6.25e-08,277818.2561,36.37800639,2.456592684e-05
3942,0.010625,0.01,0.000125,6.25e-08,278238.1952,36.46001864,2.460005554e-05
3943,0.010875,0.01,0.000125,6.25e-08,278601.7316,36.53104735,2.462959613e-05
3944,0.011125,0.01,0.000125,6.25e-08,278912.9913,36.5918854,2.465488567e-05
3945,0.011375,0.01,0.000125,6.25e-08,279175.825,36.64327491,2.467623842e-05
3946,0.011625,0.01,0.000125,6.25e-08,279393.8243,36.68590993,2.469394726e-05
3947,0.011875,0.01,0.000125,6.25e-08,279570.338,36.72043911,2.470828505e-05
3948,0.012125,0.01,0.000125,6.25e-08,279708.487,36.74746826,2.471950593e-05
3949,0.012375,0.01,0.000125,6.25e-08,279811.1784,36.76756279,2.472784647e-05
3950,0.012625,0.01,0.000125,6.25e-08,279881.1199,36.78125017,2.47335269e-05
3951,0.012875,0.01,0.000125,6.25e-08,279920.8327,36.78902236,2.473675219e-05
