cellI,x,y,z,omega,k,nut
320,0.005125,0.000875,0.000125,3198.757899,5.976736641,0.001868455454
321,0.005375,0.000875,0.000125,3259.654463,5.978303414,0.001834029797
322,0.005625,0.000875,0.000125,3321.834732,5.980087227,0.001800236228
323,0.005875,0.000875,0.000125,3385.223796,5.982080978,0.001767115363
324,0.006125,0.000875,0.000125,3449.752387,5.984277369,0.001734697653
325,0.006375,0.000875,0.000125,3515.356111,5.986669004,0.001703004992
326,0.006625,0.000875,0.000125,3581.975207,5.989248377,0.00167205188
327,0.006875,0.000875,0.000125,3649.554054,5.992007936,0.001641846606
328,0.007125,0.000875,0.000125,3718.039311,5.994936972,0.001612392035
329,0.007375,0.000875,0.000125,3787.377149,5.998021545,0.00158368742
330,0.007625,0.000875,0.000125,3857.518192,6.001254398,0.001555729383
331,0.007875,0.000875,0.000125,3928.41738,6.004628189,0.001528510749
332,0.008125,0.000875,0.000125,4000.032292,6.008135324,0.001502021705
333,0.008375,0.000875,0.000125,4072.3218,6.011767911,0.001476250701
334,0.008625,0.000875,0.000125,4145.247623,6.015518831,0.001451184435
335,0.008875,0.000875,0.000125,4218.772143,6.019379789,0.001426808461
336,0.009125,0.000875,0.000125,4292.861261,6.023348505,0.001403108123
337,0.009375,0.000875,0.000125,4367.483332,6.027420617,0.001380067228
338,0.009625,0.000875,0.000125,4442.606284,6.031589482,0.001357669147
339,0.009875,0.000875,0.000125,4518.198281,6.03584858,0.001335897233
340,0.010125,0.000875,0.000125,4594.228512,6.040191623,0.001314734696
341,0.010375,0.000875,0.000125,4670.667402,6.044612563,0.001294164633
342,0.010625,0.000875,0.000125,4747.486521,6.049105433,0.001274170112
343,0.010875,0.000875,0.000125,4824.658561,6.053664689,0.001254734322
344,0.011125,0.000875,0.000125,4902.157276,6.058285237,0.00123584065
345,0.011375,0.000875,0.000125,4979.957263,6.062962155,0.001217472728
346,0.011625,0.000875,0.000125,5058.034545,6.067691066,0.001199614398
347,0.011875,0.000875,0.000125,5136.365818,6.072467609,0.001182249829
348,0.012125,0.000875,0.000125,5214.92846,6.077288301,0.001165363695
349,0.012375,0.000875,0.000125,5293.700767,6.08214935,0.001148940905
350,0.012625,0.000875,0.000125,5372.663121,6.087050083,0.001132967012
351,0.012875,0.000875,0.000125,5451.79394,6.091986607,0.001117427891
352,0.013125,0.000875,0.000125,5531.071567,6.096954502,0.00110230982
353,0.013375,0.000875,0.000125,5610.476101,6.10195108,0.001087599514
354,0.013625,0.000875,0.000125,5689.9875,6.106972273,0.001073283952
355,0.013875,0.000875,0.000125,5769.587514,6.112016711,0.001059350724
356,0.014125,0.000875,0.000125,5849.25543,6.117078201,0.001045787498
357,0.014375,0.000875,0.000125,5928.974009,6.12215543,0.001032582606
358,0.014625,0.000875,0.000125,6008.726783,6.127247844,0.001019724821
359,0.014875,0.000875,0.000125,6088.496403,6.132354577,0.001007203449
360,0.015125,0.000875,0.000125,6168.264813,6.137474731,0.0009950083075
361,0.015375,0.000875,0.000125,6248.013377,6.142607402,0.0009831296816
362,0.015625,0.000875,0.000125,6327.722665,6.147751592,0.0009715583184
363,0.015875,0.000875,0.000125,6407.372144,6.152906146,0.0009602854348
364,0.016125,0.000875,0.000125,6486.939867,6.158069699,0.0009493027261
365,0.016375,0.000875,0.000125,6566.402102,6.163240613,0.0009386023757
366,0.016625,0.000875,0.000125,6645.732912,6.168416887,0.0009281770676
367,0.016875,0.000875,0.000125,6724.90357,6.17359607,0.0009180200139
368,0.017125,0.000875,0.000125,6803.882369,6.178775117,0.0009081249178
369,0.017375,0.000875,0.000125,6882.632596,6.183950578,0.0008984862249
370,0.017625,0.000875,0.000125,6961.113319,6.189118147,0.0008890988932
371,0.017875,0.000875,0.000125,7039.279069,6.194272328,0.0008799583404
372,0.018125,0.000875,0.000125,7117.075356,6.199405671,0.0008710608447
373,0.018375,0.000875,0.000125,7194.432188,6.204508129,0.0008624041434
374,0.018625,0.000875,0.000125,7271.273468,6.209568561,0.0008539863875
375,0.018875,0.000875,0.000125,7347.509994,6.21457345,0.0008458067365
376,0.019125,0.000875,0.000125,7423.036038,6.219506124,0.0008378655434
377,0.019375,0.000875,0.000125,7497.72571,6.224345966,0.0008301645334
