cellI,x,y,z,sigma_xx,sigma_xy,sigma_xz,sigma_yy,sigma_yz,sigma_zz
252,0.013125,0.000625,0.000125,4.723744466,-0.7757389013,-0,4.718014001,-0,4.720830035
253,0.013375,0.000625,0.000125,4.743412852,-0.7997312312,-0,4.73683722,-0,4.74001008
254,0.013625,0.000625,0.000125,4.76302433,-0.8239208912,-0,4.755637089,-0,4.759156003
255,0.013875,0.000625,0.000125,4.782580599,-0.8483023417,-0,4.774408143,-0,4.778271757
256,0.014125,0.000625,0.000125,4.802061689,-0.8729088355,-0,4.793190026,-0,4.797340787
257,0.014375,0.000625,0.000125,4.821480206,-0.8976464436,-0,4.811965339,-0,4.81637243
258,0.014625,0.000625,0.000125,4.840875061,-0.9224360938,-0,4.830663362,-0,4.835404046
259,0.014875,0.000625,0.000125,4.860252725,-0.9472792163,-0,4.849268855,-0,4.854451128
260,0.015125,0.000625,0.000125,4.879596519,-0.9722123618,-0,4.867811493,-0,4.873508972
261,0.015375,0.000625,0.000125,4.898896903,-0.9972555744,-0,4.886311916,-0,4.892576147
262,0.015625,0.000625,0.000125,4.918154346,-1.022410183,-0,4.904772382,-0,4.911660412
263,0.015875,0.000625,0.000125,4.937371115,-1.047667429,-0,4.923189637,-0,4.930773461
264,0.016125,0.000625,0.000125,4.956548024,-1.073012745,-0,4.941561159,-0,4.949927395
265,0.016375,0.000625,0.000125,4.975684682,-1.09842724,-0,4.959884412,-0,4.96913459
266,0.016625,0.000625,0.000125,4.994779144,-1.123883741,-0,4.978155973,-0,4.988408177
267,0.016875,0.000625,0.000125,5.01382945,-1.149345733,-0,4.996370036,-0,5.00776109
268,0.017125,0.000625,0.000125,5.032828369,-1.174763542,-0,5.014521635,-0,5.02720703
269,0.017375,0.000625,0.000125,5.051752239,-1.200063619,-0,5.032623171,-0,5.046753362
270,0.017625,0.000625,0.000125,5.070581965,-1.225159394,-0,5.050669604,-0,5.066414374
271,0.017875,0.000625,0.000125,5.089256585,-1.249896752,-0,5.06873099,-0,5.086164031
272,0.018125,0.000625,0.000125,5.107131411,-1.274447013,-0,5.088041099,-0,5.105391665
273,0.018375,0.000625,0.000125,5.123847263,-1.299354111,-0,5.109253115,-0,5.123778388
274,0.018625,0.000625,0.000125,5.140090044,-1.324073723,-0,5.130893401,-0,5.14206869
275,0.018875,0.000625,0.000125,5.155761744,-1.348390613,-0,5.153025617,-0,5.160234377
276,0.019125,0.000625,0.000125,5.170745799,-1.372183953,-0,5.175721409,-0,5.178237265
277,0.019375,0.000625,0.000125,5.184897986,-1.395322148,-0,5.199065894,-0,5.19602867
278,0.019625,0.000625,0.000125,5.19803873,-1.417642846,-0,5.223165449,-0,5.213543611
279,0.019875,0.000625,0.000125,5.209947838,-1.439014481,-0,5.248154058,-0,5.230695162
280,0.020125,0.000625,0.000125,5.220321206,-1.459358957,-0,5.274265742,-0,5.247339958
281,0.020375,0.000625,0.000125,5.22886678,-1.478552241,-0,5.301636852,-0,5.263370746
282,0.020625,0.000625,0.000125,5.235283624,-1.495854125,-0,5.330333337,-0,5.278680658
